identificador,nombre,capa,confianza,notas
UC6sKqTlBta6-OrWWtNWRJjA,Classic Movies 40s 50s 60s,dominio_publico,80,"ID verificado. Noir, crimen, drama, thriller, comedia, romance. Justo el periodo."
UCPNxe02Fu1UXLvoR3zRVyDQ,Free Vintage Movies | Public Domain Classics,dominio_publico,80,"ID verificado. Largometrajes completos de dominio publico: noir, westerns, comedias, thrillers."
UCZEKIck3pWU5GZBej_Nq9_g,Classic TV & Movies,dominio_publico,65,"ID verificado. Mezcla cine y TV de los 40-60. Filtrar TV con la compuerta de duracion."
@PizzaFlix,PizzaFlix,dominio_publico,85,"PRIORIDAD 1. Biblioteca privada calidad broadcast: 300+ westerns, 80+ noir, 200+ thriller/misterio, Corman. Sube lunes (clasicos) y viernes (serie B)."
@TimelessClassicMovies,Timeless Classic Movies,dominio_publico,80,"Playlists por genero: ~35 noir, ~60 thrillers. Estable (dominio publico). Poco upload nuevo."
@warnerbros,Warner Bros.,oficial,90,"Desde 2025 sube largometrajes completos; 31 titulos en 2026. Verificar disponibilidad AR."
@MovieCentral,Movie Central,particular,60,"Licenciado por contrato segun su descripcion. Mucho ruido moderno: filtrar duro por anio."
@Popcornflix,Popcornflix,particular,50,"Mayormente moderno. Bajo rendimiento esperado para 1930-1970, pero barato de cosechar."
@goldenage.hollywood,Golden Age Hollywood,dominio_publico,70,"Westerns de serie B de los 30 a los 50."
UCNopGY7uYEeaeXnxIqV5R_A,Cine Clásico 10,particular,65,"ID verificado. Películas completas en español. Filtrar duro por año."
UCFLjlqnsOhbijiJmikYKFKg,Tu CineClasico,dominio_publico,60,"ID verificado. España. Dominio público pero mezcla trailers y documentales biográficos: los vetos van a laburar."
UCycDFnpMeWzaITQSD1dWsOA,Cult Cinema Classics,particular,70,"ID verificado. 'Cine sin fronteras', multi-idioma, serie B y cine raro del siglo XX. Capa europea."
@LaCorrientePeliculas,La Corriente Películas,particular,75,"Cine clásico doblado al español latino. Canal licenciado. Películas 1930-1960."
@Mosfilm_eng,Mosfilm (English),oficial,85,"Canal oficial del estudio soviético. Cientos de películas con subtítulos en inglés. Tarkovsky, Eisenstein y más."
@kinowizard666,Kino Wizard,particular,60,"Cine de culto y terror clásico. Filtrar por año."
@cineclasicoparatodos,Cine Clásico para Todos,particular,60,"Cine clásico en español. Mezcla, filtrar duro."
UCiI-HG1MPk9o9j_jzHbKJLQ,Cinefilia,dominio_publico,70,"Películas clásicas completas en español. Dominio público. Sin mezcla con trailers (eso es el blog separado)."
UCT6gOjzXtqeb_oE-wZVHlFA,Public Domain Movies,dominio_publico,70,"Vinculado a publicdomainmovies.info. Mezcla silentes y pre-1930, pero la compuerta de duración y el filtro de año limpian el ruido."
UCyReCtbBjxY68Krs7kHOFFA,Brian Henry Martin,particular,65,"Canal personal. 248 videos, 1.43K suscriptores. Cine clásico 1930-1970."
UCJX6_0alZA4E1giDEkgX2ZQ,BeatFusion,particular,50,"272 videos. Contenido variado. A evaluar."
UCfplaBwUo1lpK7tTpi5QE6g,Nostalgic Vision,particular,70,"86K suscriptores, 1060 videos. Dedicado a cine clásico y música. Prometedor."
UCYFjGe3RidrD_3CIjnyjRQQ,DK Classics III,dominio_publico,75,"Familia de canales DK. Cine clasico completo."
UCoaqXoOZd02OlaR_Ge_1lSQ,DK Classics,dominio_publico,75,"Familia de canales DK. Cine clasico completo."
UCOLQ7ClYXS7NeX7lrrWvQXQ,DK Classics II,dominio_publico,75,"Familia de canales DK. Cine clasico completo."
UCVOD-Y0Gn6660Wlc5TWJUMQ,persona cinecafé,particular,75,"Cine argentino clásico y contemporáneo completo. Canal desmonetizado sin fines de lucro. Cafetería en Recoleta. Activo 2025-2026."
UCS6oAGSt0ulDUqEbfSwXdyg,CRFA | Época de Oro,particular,85,"Cineteca sistemática del cine argentino 1930-1959. 719 largometrajes, todos bien nombrados con fecha y director. Cero bloqueados en AR."
UCg8GKqVbKgfXvsT0PbHBsbg,Lo que el cine nos dejó,particular,80,"Cine argentino clásico 1930-1960. 309 largometrajes. Complementa a CRFA con títulos distintos. Activo 2025-2026."
UCv9PNB28AgrL6hZH7xQVygg,Retro Movies & Cheap Wine,particular,65,"Cine argentino clásico con buenas copias restauradas. Catálogo pequeño (28 largos) pero de calidad."
UC12MqyJdwy1e8Du8d4FpAcw,RetroFuente,particular,60,"Mezcla de cine argentino clásico, contemporáneo y western. Algunos títulos del período 1930-1979 no cubiertos por otros canales."
UC7kn5mH1To24z3boWaTQJhg,Archivo Amorina,particular,60,"Cinebar de Palermo. Cine argentino clásico y contemporáneo mezclado con charlas y programas propios."
